starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 15 01:38:56 2021	1618450736	7	40	46	40
Thu Apr 15 01:38:56 2021	1618450736	7	40	46	40
Thu Apr 15 01:38:56 2021	1618450736	6	40	47	40
Thu Apr 15 01:38:56 2021	1618450736	6	41	47	40
Thu Apr 15 01:38:56 2021	1618450736	6	41	47	40
Thu Apr 15 01:38:56 2021	1618450736	6	41	47	41
Thu Apr 15 01:38:56 2021	1618450736	6	41	48	41
Thu Apr 15 01:38:56 2021	1618450736	6	42	48	41
Thu Apr 15 01:38:56 2021	1618450736	6	42	48	42
Thu Apr 15 01:38:56 2021	1618450736	6	42	49	42
Thu Apr 15 01:38:56 2021	1618450736	6	42	49	42
Thu Apr 15 01:38:56 2021	1618450736	6	42	49	42
Thu Apr 15 01:38:56 2021	1618450736	6	42	49	42
Thu Apr 15 01:38:56 2021	1618450736	6	43	50	43
Thu Apr 15 01:38:56 2021	1618450736	6	43	50	43
Thu Apr 15 01:38:56 2021	1618450736	6	44	50	43
Thu Apr 15 01:38:56 2021	1618450736	6	44	50	43
Thu Apr 15 01:38:56 2021	1618450736	6	44	51	44
Thu Apr 15 01:38:56 2021	1618450736	6	45	51	44
Thu Apr 15 01:38:56 2021	1618450736	6	45	51	44
Thu Apr 15 01:38:56 2021	1618450736	6	45	51	44
Thu Apr 15 01:38:56 2021	1618450736	6	45	51	44
Thu Apr 15 01:38:56 2021	1618450736	6	45	51	44
Thu Apr 15 01:38:56 2021	1618450736	6	46	52	45
Thu Apr 15 01:38:56 2021	1618450736	6	46	52	46
Thu Apr 15 01:38:56 2021	1618450736	6	46	53	46
Thu Apr 15 01:38:56 2021	1618450736	6	46	53	46
Thu Apr 15 01:38:56 2021	1618450736	6	47	53	46
Thu Apr 15 01:38:56 2021	1618450736	6	47	53	47
Thu Apr 15 01:38:56 2021	1618450736	6	47	54	47
Thu Apr 15 01:38:56 2021	1618450736	6	47	54	47
Thu Apr 15 01:38:56 2021	1618450736	6	48	54	47
Thu Apr 15 01:38:56 2021	1618450736	6	48	54	47
Thu Apr 15 01:38:56 2021	1618450736	6	48	55	48
Thu Apr 15 01:38:56 2021	1618450736	6	49	55	48
Thu Apr 15 01:38:56 2021	1618450736	6	49	55	48
Thu Apr 15 01:38:56 2021	1618450736	6	49	55	48
Thu Apr 15 01:38:56 2021	1618450736	6	49	56	49
Thu Apr 15 01:38:56 2021	1618450736	6	49	56	49
Thu Apr 15 01:38:56 2021	1618450736	6	50	56	49
Thu Apr 15 01:38:56 2021	1618450736	6	50	56	50
Thu Apr 15 01:38:56 2021	1618450736	6	50	57	50
Thu Apr 15 01:38:56 2021	1618450736	6	51	57	50
Thu Apr 15 01:38:56 2021	1618450736	6	51	58	51
Thu Apr 15 01:38:56 2021	1618450736	6	51	58	51
Thu Apr 15 01:38:56 2021	1618450736	6	51	58	51
Thu Apr 15 01:38:56 2021	1618450736	6	52	58	51
Thu Apr 15 01:38:56 2021	1618450736	6	52	58	51
Thu Apr 15 01:38:56 2021	1618450736	6	52	58	51
Thu Apr 15 01:38:56 2021	1618450736	6	52	59	52
Thu Apr 15 01:38:56 2021	1618450736	6	53	59	53
Thu Apr 15 01:38:56 2021	1618450736	6	53	60	53
Thu Apr 15 01:38:56 2021	1618450736	6	53	60	53
Thu Apr 15 01:38:56 2021	1618450736	6	54	60	53
Thu Apr 15 01:38:56 2021	1618450736	6	54	60	54
Thu Apr 15 01:38:56 2021	1618450736	6	54	61	53
Thu Apr 15 01:38:56 2021	1618450736	6	54	61	54
Thu Apr 15 01:38:56 2021	1618450736	6	55	61	54
Thu Apr 15 01:38:56 2021	1618450736	6	55	61	54
Thu Apr 15 01:38:56 2021	1618450736	6	55	62	55
Thu Apr 15 01:38:56 2021	1618450736	6	55	62	55
Thu Apr 15 01:38:56 2021	1618450736	6	55	62	55
Thu Apr 15 01:38:56 2021	1618450736	6	56	62	55
Thu Apr 15 01:38:56 2021	1618450736	6	56	62	55
Thu Apr 15 01:38:56 2021	1618450736	6	56	63	56
Thu Apr 15 01:38:56 2021	1618450736	6	57	63	56
Thu Apr 15 01:38:56 2021	1618450736	6	57	63	56
Thu Apr 15 01:38:56 2021	1618450736	6	57	63	56
Thu Apr 15 01:38:56 2021	1618450736	6	57	64	57
Thu Apr 15 01:38:56 2021	1618450736	6	58	64	58
Thu Apr 15 01:38:56 2021	1618450736	6	58	64	58
Thu Apr 15 01:38:56 2021	1618450736	6	58	64	58
Thu Apr 15 01:38:56 2021	1618450736	6	58	65	58
Thu Apr 15 01:38:56 2021	1618450736	6	59	65	58
Thu Apr 15 01:38:56 2021	1618450736	6	59	65	59
Thu Apr 15 01:38:56 2021	1618450736	6	59	65	59
Thu Apr 15 01:38:56 2021	1618450736	6	59	65	59
Thu Apr 15 01:38:56 2021	1618450736	6	60	66	59
Thu Apr 15 01:38:56 2021	1618450736	6	60	66	60
Thu Apr 15 01:38:56 2021	1618450736	6	60	66	60
Thu Apr 15 01:38:56 2021	1618450736	6	60	67	60
Thu Apr 15 01:38:56 2021	1618450736	6	61	67	60
Thu Apr 15 01:38:56 2021	1618450736	6	61	67	61
Thu Apr 15 01:38:56 2021	1618450736	6	61	67	61
Thu Apr 15 01:38:56 2021	1618450736	6	62	68	61
Thu Apr 15 01:38:56 2021	1618450736	6	62	68	61
Thu Apr 15 01:38:56 2021	1618450736	6	62	68	62
Thu Apr 15 01:38:56 2021	1618450736	6	63	69	62
Thu Apr 15 01:38:56 2021	1618450736	6	63	69	62
Thu Apr 15 01:38:56 2021	1618450736	6	63	69	62
Thu Apr 15 01:38:56 2021	1618450736	6	63	69	62
Thu Apr 15 01:38:56 2021	1618450736	6	63	70	63
Thu Apr 15 01:38:56 2021	1618450736	6	64	70	63
Thu Apr 15 01:38:56 2021	1618450736	6	64	70	63
Thu Apr 15 01:38:56 2021	1618450736	6	64	71	64
Thu Apr 15 01:38:56 2021	1618450736	6	65	71	64
Thu Apr 15 01:38:56 2021	1618450736	6	65	71	64
Thu Apr 15 01:38:56 2021	1618450736	6	65	71	64
Thu Apr 15 01:38:56 2021	1618450736	6	65	71	65
Thu Apr 15 01:38:56 2021	1618450736	6	65	71	65
Thu Apr 15 01:38:56 2021	1618450736	6	66	72	65
Thu Apr 15 01:38:56 2021	1618450736	6	66	72	66
Thu Apr 15 01:38:56 2021	1618450736	6	66	73	66
Thu Apr 15 01:38:56 2021	1618450736	6	66	73	66
Thu Apr 15 01:38:56 2021	1618450736	6	67	73	67
Thu Apr 15 01:38:56 2021	1618450736	6	67	73	66
Thu Apr 15 01:38:56 2021	1618450736	6	67	73	67
Thu Apr 15 01:38:56 2021	1618450736	6	67	73	67
Thu Apr 15 01:38:56 2021	1618450736	6	68	74	67
Thu Apr 15 01:38:56 2021	1618450736	6	68	74	67
Thu Apr 15 01:38:56 2021	1618450736	6	68	74	68
Thu Apr 15 01:38:56 2021	1618450736	6	69	75	68
Thu Apr 15 01:38:56 2021	1618450736	6	69	75	69
Thu Apr 15 01:38:56 2021	1618450736	6	69	75	69
Thu Apr 15 01:38:56 2021	1618450736	6	69	75	69
Thu Apr 15 01:38:56 2021	1618450736	6	69	75	69
Thu Apr 15 01:38:56 2021	1618450736	6	70	76	69
Thu Apr 15 01:38:56 2021	1618450736	6	70	76	70
Thu Apr 15 01:38:56 2021	1618450736	6	70	76	70
Thu Apr 15 01:38:56 2021	1618450736	6	70	76	70
Thu Apr 15 01:38:56 2021	1618450736	6	71	77	70
Thu Apr 15 01:38:56 2021	1618450736	6	71	77	71
Thu Apr 15 01:38:56 2021	1618450736	6	71	77	71
Thu Apr 15 01:38:56 2021	1618450736	6	71	77	71
Thu Apr 15 01:38:56 2021	1618450736	6	71	78	71
Thu Apr 15 01:38:56 2021	1618450736	6	72	78	71
Thu Apr 15 01:38:56 2021	1618450736	6	72	78	72
Thu Apr 15 01:38:56 2021	1618450736	6	73	79	72
Thu Apr 15 01:38:56 2021	1618450736	6	73	79	72
Thu Apr 15 01:38:56 2021	1618450736	6	73	79	72
Thu Apr 15 01:38:56 2021	1618450736	6	73	79	73
Thu Apr 15 01:38:56 2021	1618450736	6	74	80	73
Thu Apr 15 01:38:56 2021	1618450736	6	74	80	73
Thu Apr 15 01:38:56 2021	1618450736	6	74	80	73
Thu Apr 15 01:38:56 2021	1618450736	6	74	80	73
Thu Apr 15 01:38:56 2021	1618450736	7	74	81	73
Thu Apr 15 01:38:56 2021	1618450736	7	74	81	74
Thu Apr 15 01:38:56 2021	1618450736	7	74	81	74
Thu Apr 15 01:38:56 2021	1618450736	7	75	81	74
Thu Apr 15 01:38:56 2021	1618450736	7	75	81	74
Thu Apr 15 01:38:56 2021	1618450736	7	75	82	75
Thu Apr 15 01:38:56 2021	1618450736	7	75	82	75
Thu Apr 15 01:38:56 2021	1618450736	7	75	82	75
Thu Apr 15 01:38:56 2021	1618450736	7	76	83	76
Thu Apr 15 01:38:56 2021	1618450736	7	76	83	76
Thu Apr 15 01:38:56 2021	1618450736	7	77	83	76
Thu Apr 15 01:38:56 2021	1618450736	7	77	83	76
Thu Apr 15 01:38:56 2021	1618450736	7	77	83	76
Thu Apr 15 01:38:56 2021	1618450736	7	77	84	76
Thu Apr 15 01:38:56 2021	1618450736	7	77	84	77
Thu Apr 15 01:38:56 2021	1618450736	7	78	84	77
Thu Apr 15 01:38:56 2021	1618450736	7	78	84	78
Thu Apr 15 01:38:56 2021	1618450736	7	78	85	78
Thu Apr 15 01:38:56 2021	1618450736	7	79	85	78
Thu Apr 15 01:38:56 2021	1618450736	7	79	85	78
Thu Apr 15 01:38:56 2021	1618450736	7	79	86	78
Thu Apr 15 01:38:56 2021	1618450736	7	79	86	79
Thu Apr 15 01:38:56 2021	1618450736	7	79	86	79
Thu Apr 15 01:38:56 2021	1618450736	7	79	86	79
Thu Apr 15 01:38:56 2021	1618450736	7	80	87	80
Thu Apr 15 01:38:56 2021	1618450736	7	81	87	80
Thu Apr 15 01:38:56 2021	1618450736	7	81	87	80
Thu Apr 15 01:38:56 2021	1618450736	7	81	87	80
Thu Apr 15 01:38:56 2021	1618450736	7	81	88	80
Thu Apr 15 01:38:56 2021	1618450736	7	81	88	81
Thu Apr 15 01:38:56 2021	1618450736	7	81	88	81
Thu Apr 15 01:38:56 2021	1618450736	7	82	88	81
